dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
VALIDATION_SEEN_AFTER_V1,VUE005,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,1,1,True,24,1828424ed9c54d8c,1828424ed9c54d8c
VALIDATION_SEEN_AFTER_V1,VUE005,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,4,4,True,24,1fe5aee2e5533c11,1fe5aee2e5533c11
VALIDATION_SEEN_AFTER_V1,VUE005,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,afc15f0517858f16,afc15f0517858f16
VALIDATION_SEEN_AFTER_V1,VUE006,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE006,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,6,6,True,24,e8f4445e672d8753,e8f4445e672d8753
VALIDATION_SEEN_AFTER_V1,VUE006,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,5,5,True,24,527c46d70c16e157,527c46d70c16e157
VALIDATION_SEEN_AFTER_V1,VUE006,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,9e60565bd5c195f6,9e60565bd5c195f6
VALIDATION_SEEN_AFTER_V1,VUE007,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE007,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,6,6,True,24,39ed71e62309df7e,39ed71e62309df7e
VALIDATION_SEEN_AFTER_V1,VUE007,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,5,5,True,24,27f98bf62a6b2b58,27f98bf62a6b2b58
