event_id,dataset_role,repeat,evaluation_wall_us,gqsc_generation_us,exact_validation_us,final_ranking_us,lifecycle_us,fallback_us,callback_total_us,pair_proxy_count,reconstruction_count,validator_count,outcome
VUE034,VALIDATION_SEEN_AFTER_V1,0,8813.8169999999991,6950.5429999999997,1818.4350000000002,8.8599999999999994,175.55699999999999,0,8992.8389999999999,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,1,6044.4470000000001,4483.7619999999988,1525.4170000000001,5.0419999999999998,166.59700000000001,0,6213.4120000000003,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,2,5953.79,4405.25,1514.1329999999998,4.9080000000000004,164.249,0,6119.9880000000003,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,3,5922.0460000000003,4418.3809999999994,1470.8560000000002,4.9569999999999999,164.25299999999999,0,6088.2740000000003,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,4,5920.5110000000004,4404.2939999999999,1483.4810000000002,5.3579999999999997,173.631,0,6096.0730000000003,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,5,5947.482,4397.9639999999999,1516.2399999999998,5.0220000000000002,163.33000000000001,0,6112.8180000000002,128,12,12,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,6,5867.3249999999998,4349.6790000000001,1485.7609999999997,4.6449999999999996,163.62700000000001,0,6032.8959999999997,128,12,12,FRESH_SELECTED
VUE035,VALIDATION_SEEN_AFTER_V1,0,5777.8199999999997,4526.7149999999992,1223.5510000000002,0.192,0,15616.084999999999,21395.648000000001,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,1,5811.7839999999997,4521.0450000000001,1246.2900000000002,0.215,0,13702.373,19515.447,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,2,6213.8069999999998,5055.5010000000002,1128.923,0.76000000000000001,0,13879.911,20095.406999999999,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,3,5799.8289999999997,4554.668999999999,1217.6010000000001,0.21199999999999999,0,13505.627,19307.988000000001,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,4,5604.1980000000003,4426.847999999999,1150.5330000000001,0.185,0,13742.744000000001,19348.937000000002,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,5,5758.2290000000003,4512.5079999999998,1220.431,0.16900000000000001,0,14881.332,20641.246999999999,128,12,12,NO_SAFE_PATH
VUE035,VALIDATION_SEEN_AFTER_V1,6,5766.2830000000004,4546.1910000000007,1192.3139999999999,0.189,0,13872.616,19641.248,128,12,12,NO_SAFE_PATH
VUE036,VALIDATION_SEEN_AFTER_V1,0,9218.7009999999991,5309.8709999999992,3875.5330000000004,5.5330000000000004,713.78499999999997,0,9935.6360000000004,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,1,11205.912,6849.8480000000009,4315.4259999999995,7.4420000000000002,577.69200000000001,0,11786.279,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,2,9915.5409999999993,5624.2659999999996,4256.1540000000005,6.0880000000000001,569.79600000000005,0,10488.35,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,3,9797.3649999999998,5546.0709999999999,4217.8589999999995,5.5780000000000003,571.19899999999996,0,10370.531000000001,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,4,9840.75,5554.0410000000002,4253.1419999999998,5.6310000000000002,564.39499999999998,0,10407.303,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,5,9818.2999999999993,5551.8450000000012,4232.0869999999995,5.6059999999999999,573.72299999999996,0,10394.279,128,12,12,FRESH_SELECTED
VUE036,VALIDATION_SEEN_AFTER_V1,6,9713.4740000000002,5512.5650000000014,4171.427999999999,5.0369999999999999,529.48900000000003,0,10244.937,128,12,12,FRESH_SELECTED
VUE037,VALIDATION_SEEN_AFTER_V1,0,8464.2939999999999,5647.9840000000013,2775.9949999999999,0.75700000000000001,0,22185.939999999999,30652.32,128,12,12,NO_SAFE_PATH
