dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
VALIDATION_SEEN_AFTER_V1,VUE007,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE007,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE008,64,1,1,1,1,1,1,1,1,1,1,36,6,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE008,96,1,1,1,1,1,1,1,1,1,1,37,6,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE008,128,1,1,1,1,1,1,1,1,1,1,37,6,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE009,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE009,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE009,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE010,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,11
VALIDATION_SEEN_AFTER_V1,VUE010,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,11
VALIDATION_SEEN_AFTER_V1,VUE010,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,11
VALIDATION_SEEN_AFTER_V1,VUE011,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
VALIDATION_SEEN_AFTER_V1,VUE011,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
VALIDATION_SEEN_AFTER_V1,VUE011,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,11
VALIDATION_SEEN_AFTER_V1,VUE012,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE012,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE012,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE013,64,1,1,1,1,1,1,1,1,1,1,32,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE013,96,1,1,1,1,1,1,1,1,1,1,32,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE013,128,1,1,1,1,1,1,1,1,1,1,32,7,128,12,10
VALIDATION_SEEN_AFTER_V1,VUE014,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE014,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE014,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
VALIDATION_SEEN_AFTER_V1,VUE015,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE015,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE015,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
VALIDATION_SEEN_AFTER_V1,VUE016,64,1,1,1,1,1,1,1,1,1,1,32,3,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE016,96,1,1,1,1,1,1,1,1,1,1,32,3,94,12,10
VALIDATION_SEEN_AFTER_V1,VUE016,128,1,1,1,1,1,1,1,1,1,1,32,3,94,12,10
VALIDATION_SEEN_AFTER_V1,VUE017,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,12
VALIDATION_SEEN_AFTER_V1,VUE017,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,12
VALIDATION_SEEN_AFTER_V1,VUE017,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,12
VALIDATION_SEEN_AFTER_V1,VUE018,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE018,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE018,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE019,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,11
