event_id,dataset_role,bag,source_kind,legacy_hard_valid,legacy_usable_valid,legacy_selected_digest,teacher_hard_valid,teacher_usable_valid,standalone_hard_valid,standalone_usable_valid,teacher_selected_digest,standalone_selected_digest,selected_digest_exact,teacher_vs_legacy_selected_digest_exact,standalone_vs_legacy_selected_digest_exact,teacher_hard_candidate_count,standalone_hard_candidate_count,hard_candidate_digest_intersection,hard_candidate_digest_union,teacher_usable_candidate_count,standalone_usable_candidate_count,usable_candidate_digest_intersection,usable_candidate_digest_union,teacher_reconstructions,teacher_validators,standalone_reconstructions,standalone_validators
DVE003,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,1,1,NONE,a56c17ecf1766dd9,0,1,0,0,7,0,7,0,7,0,7,12,12,12,10
DVE004,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,1,0,02ad20ab80135e1b,a17c084b2a16880d,0,0,0,1,3,1,3,0,0,0,0,12,10,12,10
DVE005,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,12,12,9
DVE006,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,1,0,90118fa097762722,068a6aaa5cd35376,0,0,0,1,5,0,6,0,0,0,0,12,11,12,10
DVE007,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,1,0,19d0c38394f7bb60,19d0c38394f7bb60,1,0,0,1,2,1,2,0,0,0,0,12,10,12,10
DVE008,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,11
DVE009,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE010,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,10
DVE011,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE012,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,c9592fe79d4433fa,c9592fe79d4433fa,1,0,0,10,10,8,12,10,10,8,12,12,11,12,10
DVE013,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,11
DVE014,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,688f323ac5b5281a,688f323ac5b5281a,1,0,0,5,4,2,7,5,4,2,7,12,11,12,10
DVE015,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,08f1832615bbac70,cebf7cd727e69b5b,0,0,0,5,10,1,14,5,10,1,14,12,5,12,10
DVE016,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE017,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,fdfd2faa328387f9,5fc1bc133385802f,0,0,0,6,9,3,12,6,9,3,12,12,6,12,9
